Sector,Ticker Symbol,Last_Updated
Industrials,MMM,2026-01-18 16:25:28.186837
Industrials,AOS,2026-01-18 16:25:28.186837
Industrials,ALLE,2026-01-18 16:25:28.186837
Industrials,AME,2026-01-18 16:25:28.186837
Industrials,ADP,2026-01-18 16:25:28.186837
Industrials,AXON,2026-01-18 16:25:28.186837
Industrials,BA,2026-01-18 16:25:28.186837
Industrials,BR,2026-01-18 16:25:28.186837
Industrials,BLDR,2026-01-18 16:25:28.186837
Industrials,CHRW,2026-01-18 16:25:28.186837
Industrials,CARR,2026-01-18 16:25:28.186837
Industrials,CAT,2026-01-18 16:25:28.186837
Industrials,CTAS,2026-01-18 16:25:28.186837
Industrials,FIX,2026-01-18 16:25:28.186837
Industrials,CPRT,2026-01-18 16:25:28.186837
Industrials,CSX,2026-01-18 16:25:28.186837
Industrials,CMI,2026-01-18 16:25:28.186837
Industrials,DAY,2026-01-18 16:25:28.186837
Industrials,DE,2026-01-18 16:25:28.186837
Industrials,DAL,2026-01-18 16:25:28.186837
Industrials,DOV,2026-01-18 16:25:28.186837
Industrials,ETN,2026-01-18 16:25:28.186837
Industrials,EME,2026-01-18 16:25:28.186837
Industrials,EMR,2026-01-18 16:25:28.186837
Industrials,EFX,2026-01-18 16:25:28.186837
Industrials,EXPD,2026-01-18 16:25:28.186837
Industrials,FAST,2026-01-18 16:25:28.186837
Industrials,FDX,2026-01-18 16:25:28.186837
Industrials,FTV,2026-01-18 16:25:28.186837
Industrials,GE,2026-01-18 16:25:28.186837
Industrials,GEV,2026-01-18 16:25:28.186837
Industrials,GNRC,2026-01-18 16:25:28.186837
Industrials,GD,2026-01-18 16:25:28.186837
Industrials,HON,2026-01-18 16:25:28.186837
Industrials,HWM,2026-01-18 16:25:28.186837
Industrials,HUBB,2026-01-18 16:25:28.186837
Industrials,HII,2026-01-18 16:25:28.186837
Industrials,IEX,2026-01-18 16:25:28.186837
Industrials,ITW,2026-01-18 16:25:28.186837
Industrials,IR,2026-01-18 16:25:28.186837
Industrials,JBHT,2026-01-18 16:25:28.186837
Industrials,J,2026-01-18 16:25:28.186837
Industrials,JCI,2026-01-18 16:25:28.186837
Industrials,LHX,2026-01-18 16:25:28.186837
Industrials,LDOS,2026-01-18 16:25:28.186837
Industrials,LII,2026-01-18 16:25:28.186837
Industrials,LMT,2026-01-18 16:25:28.186837
Industrials,MAS,2026-01-18 16:25:28.186837
Industrials,NDSN,2026-01-18 16:25:28.186837
Industrials,NSC,2026-01-18 16:25:28.186837
Industrials,NOC,2026-01-18 16:25:28.186837
Industrials,ODFL,2026-01-18 16:25:28.186837
Industrials,OTIS,2026-01-18 16:25:28.186837
Industrials,PCAR,2026-01-18 16:25:28.186837
Industrials,PH,2026-01-18 16:25:28.186837
Industrials,PAYX,2026-01-18 16:25:28.186837
Industrials,PAYC,2026-01-18 16:25:28.186837
Industrials,PNR,2026-01-18 16:25:28.186837
Industrials,PWR,2026-01-18 16:25:28.186837
Industrials,RTX,2026-01-18 16:25:28.186837
Industrials,RSG,2026-01-18 16:25:28.186837
Industrials,ROK,2026-01-18 16:25:28.186837
Industrials,ROL,2026-01-18 16:25:28.186837
Industrials,SNA,2026-01-18 16:25:28.186837
Industrials,LUV,2026-01-18 16:25:28.186837
Industrials,SWK,2026-01-18 16:25:28.186837
Industrials,TXT,2026-01-18 16:25:28.186837
Industrials,TT,2026-01-18 16:25:28.186837
Industrials,TDG,2026-01-18 16:25:28.186837
Industrials,UBER,2026-01-18 16:25:28.186837
Industrials,UNP,2026-01-18 16:25:28.186837
Industrials,UAL,2026-01-18 16:25:28.186837
Industrials,UPS,2026-01-18 16:25:28.186837
Industrials,URI,2026-01-18 16:25:28.186837
Industrials,VLTO,2026-01-18 16:25:28.186837
Industrials,VRSK,2026-01-18 16:25:28.186837
Industrials,GWW,2026-01-18 16:25:28.186837
Industrials,WAB,2026-01-18 16:25:28.186837
Industrials,WM,2026-01-18 16:25:28.186837
Industrials,XYL,2026-01-18 16:25:28.186837
Health Care,ABT,2026-01-18 16:25:28.186837
Health Care,ABBV,2026-01-18 16:25:28.186837
Health Care,A,2026-01-18 16:25:28.186837
Health Care,ALGN,2026-01-18 16:25:28.186837
Health Care,AMGN,2026-01-18 16:25:28.186837
Health Care,BAX,2026-01-18 16:25:28.186837
Health Care,BDX,2026-01-18 16:25:28.186837
Health Care,TECH,2026-01-18 16:25:28.186837
Health Care,BIIB,2026-01-18 16:25:28.186837
Health Care,BSX,2026-01-18 16:25:28.186837
Health Care,BMY,2026-01-18 16:25:28.186837
Health Care,CAH,2026-01-18 16:25:28.186837
Health Care,COR,2026-01-18 16:25:28.186837
Health Care,CNC,2026-01-18 16:25:28.186837
Health Care,CRL,2026-01-18 16:25:28.186837
Health Care,CI,2026-01-18 16:25:28.186837
Health Care,COO,2026-01-18 16:25:28.186837
Health Care,CVS,2026-01-18 16:25:28.186837
Health Care,DHR,2026-01-18 16:25:28.186837
Health Care,DVA,2026-01-18 16:25:28.186837
Health Care,DXCM,2026-01-18 16:25:28.186837
Health Care,EW,2026-01-18 16:25:28.186837
Health Care,ELV,2026-01-18 16:25:28.186837
Health Care,GEHC,2026-01-18 16:25:28.186837
Health Care,GILD,2026-01-18 16:25:28.186837
Health Care,HCA,2026-01-18 16:25:28.186837
Health Care,HSIC,2026-01-18 16:25:28.186837
Health Care,HOLX,2026-01-18 16:25:28.186837
Health Care,HUM,2026-01-18 16:25:28.186837
Health Care,IDXX,2026-01-18 16:25:28.186837
Health Care,INCY,2026-01-18 16:25:28.186837
Health Care,PODD,2026-01-18 16:25:28.186837
Health Care,ISRG,2026-01-18 16:25:28.186837
Health Care,IQV,2026-01-18 16:25:28.186837
Health Care,JNJ,2026-01-18 16:25:28.186837
Health Care,LH,2026-01-18 16:25:28.186837
Health Care,LLY,2026-01-18 16:25:28.186837
Health Care,MCK,2026-01-18 16:25:28.186837
Health Care,MDT,2026-01-18 16:25:28.186837
Health Care,MRK,2026-01-18 16:25:28.186837
Health Care,MTD,2026-01-18 16:25:28.186837
Health Care,MRNA,2026-01-18 16:25:28.186837
Health Care,MOH,2026-01-18 16:25:28.186837
Health Care,PFE,2026-01-18 16:25:28.186837
Health Care,DGX,2026-01-18 16:25:28.186837
Health Care,REGN,2026-01-18 16:25:28.186837
Health Care,RMD,2026-01-18 16:25:28.186837
Health Care,RVTY,2026-01-18 16:25:28.186837
Health Care,SOLV,2026-01-18 16:25:28.186837
Health Care,STE,2026-01-18 16:25:28.186837
Health Care,SYK,2026-01-18 16:25:28.186837
Health Care,TMO,2026-01-18 16:25:28.186837
Health Care,UNH,2026-01-18 16:25:28.186837
Health Care,UHS,2026-01-18 16:25:28.186837
Health Care,VRTX,2026-01-18 16:25:28.186837
Health Care,VTRS,2026-01-18 16:25:28.186837
Health Care,WAT,2026-01-18 16:25:28.186837
Health Care,WST,2026-01-18 16:25:28.186837
Health Care,ZBH,2026-01-18 16:25:28.186837
Health Care,ZTS,2026-01-18 16:25:28.186837
Information Technology,ACN,2026-01-18 16:25:28.186837
Information Technology,ADBE,2026-01-18 16:25:28.186837
Information Technology,AMD,2026-01-18 16:25:28.186837
Information Technology,AKAM,2026-01-18 16:25:28.186837
Information Technology,APH,2026-01-18 16:25:28.186837
Information Technology,ADI,2026-01-18 16:25:28.186837
Information Technology,AAPL,2026-01-18 16:25:28.186837
Information Technology,AMAT,2026-01-18 16:25:28.186837
Information Technology,APP,2026-01-18 16:25:28.186837
Information Technology,ANET,2026-01-18 16:25:28.186837
Information Technology,ADSK,2026-01-18 16:25:28.186837
Information Technology,AVGO,2026-01-18 16:25:28.186837
Information Technology,CDNS,2026-01-18 16:25:28.186837
Information Technology,CDW,2026-01-18 16:25:28.186837
Information Technology,CSCO,2026-01-18 16:25:28.186837
Information Technology,CTSH,2026-01-18 16:25:28.186837
Information Technology,GLW,2026-01-18 16:25:28.186837
Information Technology,CRWD,2026-01-18 16:25:28.186837
Information Technology,DDOG,2026-01-18 16:25:28.186837
Information Technology,DELL,2026-01-18 16:25:28.186837
Information Technology,EPAM,2026-01-18 16:25:28.186837
Information Technology,FFIV,2026-01-18 16:25:28.186837
Information Technology,FICO,2026-01-18 16:25:28.186837
Information Technology,FSLR,2026-01-18 16:25:28.186837
Information Technology,FTNT,2026-01-18 16:25:28.186837
Information Technology,IT,2026-01-18 16:25:28.186837
Information Technology,GEN,2026-01-18 16:25:28.186837
Information Technology,GDDY,2026-01-18 16:25:28.186837
Information Technology,HPE,2026-01-18 16:25:28.186837
Information Technology,HPQ,2026-01-18 16:25:28.186837
Information Technology,IBM,2026-01-18 16:25:28.186837
Information Technology,INTC,2026-01-18 16:25:28.186837
Information Technology,INTU,2026-01-18 16:25:28.186837
Information Technology,JBL,2026-01-18 16:25:28.186837
Information Technology,KEYS,2026-01-18 16:25:28.186837
Information Technology,KLAC,2026-01-18 16:25:28.186837
Information Technology,LRCX,2026-01-18 16:25:28.186837
Information Technology,MCHP,2026-01-18 16:25:28.186837
Information Technology,MU,2026-01-18 16:25:28.186837
Information Technology,MSFT,2026-01-18 16:25:28.186837
Information Technology,MPWR,2026-01-18 16:25:28.186837
Information Technology,MSI,2026-01-18 16:25:28.186837
Information Technology,NTAP,2026-01-18 16:25:28.186837
Information Technology,NVDA,2026-01-18 16:25:28.186837
Information Technology,NXPI,2026-01-18 16:25:28.186837
Information Technology,ON,2026-01-18 16:25:28.186837
Information Technology,ORCL,2026-01-18 16:25:28.186837
Information Technology,PLTR,2026-01-18 16:25:28.186837
Information Technology,PANW,2026-01-18 16:25:28.186837
Information Technology,PTC,2026-01-18 16:25:28.186837
Information Technology,QCOM,2026-01-18 16:25:28.186837
Information Technology,Q,2026-01-18 16:25:28.186837
Information Technology,ROP,2026-01-18 16:25:28.186837
Information Technology,CRM,2026-01-18 16:25:28.186837
Information Technology,SNDK,2026-01-18 16:25:28.186837
Information Technology,STX,2026-01-18 16:25:28.186837
Information Technology,NOW,2026-01-18 16:25:28.186837
Information Technology,SWKS,2026-01-18 16:25:28.186837
Information Technology,SMCI,2026-01-18 16:25:28.186837
Information Technology,SNPS,2026-01-18 16:25:28.186837
Information Technology,TEL,2026-01-18 16:25:28.186837
Information Technology,TDY,2026-01-18 16:25:28.186837
Information Technology,TER,2026-01-18 16:25:28.186837
Information Technology,TXN,2026-01-18 16:25:28.186837
Information Technology,TRMB,2026-01-18 16:25:28.186837
Information Technology,TYL,2026-01-18 16:25:28.186837
Information Technology,VRSN,2026-01-18 16:25:28.186837
